"Obs","Cust","B1","B2","B3","B4","segment"
2,0,1,2,3,2,5
3,0,1,3,3,2,5
4,0,2,4,3,2,3
5,0,2,4,1,2,3
10,0,2,4,2,3,1
12,0,2,4,2,1,3
13,0,2,2,3,3,5
17,0,1,2,1,1,2
18,0,3,3,2,3,1
20,0,1,4,3,2,3
21,0,2,4,2,2,3
22,0,2,4,2,3,1
24,0,1,4,2,1,4
25,0,2,3,2,2,7
26,0,1,3,2,1,2
28,0,2,4,2,1,3
29,0,2,2,1,2,6
30,0,2,4,2,2,3
31,0,1,3,3,2,5
32,0,2,2,1,2,6
34,0,1,4,2,2,3
38,0,3,4,2,2,7
40,0,3,3,2,1,7
41,0,1,4,2,1,4
42,0,1,3,2,1,2
43,0,2,4,2,4,1
45,0,2,3,2,2,7
46,0,2,2,1,2,6
48,0,4,3,2,2,7
49,0,1,2,1,2,2
50,0,2,3,2,2,7
51,0,2,4,1,2,3
52,0,1,4,2,2,3
53,0,2,3,2,3,1
58,0,1,2,2,2,2
59,0,3,3,1,3,1
60,0,1,4,2,2,3
61,0,2,4,2,4,1
62,0,2,4,2,1,3
63,0,2,4,2,2,3
64,0,2,3,2,2,7
65,0,2,4,1,2,3
67,0,2,2,3,4,1
68,0,2,2,2,2,6
70,0,1,3,2,3,1
72,0,2,2,3,3,5
73,0,3,2,2,2,6
75,0,1,3,2,2,2
77,0,2,2,2,2,6
78,0,3,3,2,3,1
79,0,2,3,3,3,1
80,0,2,4,2,2,3
82,0,2,2,2,1,6
87,0,3,2,2,2,6
88,0,2,3,4,2,5
89,0,2,1,2,2,6
90,0,3,2,2,2,6
91,0,2,3,1,1,7
92,0,2,2,3,2,5
93,0,2,4,2,2,3
94,0,1,2,3,1,2
95,0,1,2,2,1,2
99,0,2,2,2,2,6
101,0,2,2,3,3,5
102,0,2,3,2,2,7
103,0,3,1,2,2,6
104,0,4,3,1,1,7
105,0,3,1,1,2,6
106,0,2,1,4,3,5
107,0,1,2,2,1,2
108,0,2,3,2,1,7
109,0,2,3,4,2,5
110,0,3,4,3,2,7
111,0,2,3,2,1,7
112,0,1,4,3,2,3
113,0,1,2,3,1,2
114,0,2,2,1,2,6
115,0,1,4,2,1,4
116,0,3,3,2,3,1
118,0,1,1,2,2,6
119,0,1,4,2,2,3
122,0,1,2,2,4,1
123,0,1,3,2,2,2
124,0,1,2,1,2,2
125,0,2,2,2,2,6
126,0,2,2,2,2,6
127,0,1,1,1,2,6
128,0,2,3,2,2,7
129,0,2,3,2,1,7
130,0,2,3,2,3,1
131,0,2,3,2,2,7
132,0,1,3,2,1,2
134,0,1,2,2,1,2
135,0,1,2,2,1,2
137,0,1,2,2,3,5
138,0,2,2,2,2,6
139,0,1,2,2,3,5
140,0,1,4,1,1,4
141,0,2,3,2,2,7
142,0,3,2,2,2,6
143,0,1,2,2,1,2
144,0,2,2,2,2,6
145,0,1,3,2,3,1
147,0,3,1,3,2,5
148,0,2,1,2,2,6
149,0,1,4,3,1,3
150,0,2,1,3,3,5
152,0,1,4,2,2,3
153,0,2,3,2,2,7
154,0,2,2,1,2,6
156,0,1,1,1,1,6
157,0,3,2,3,3,5
158,0,2,3,2,2,7
160,0,2,2,2,1,6
161,0,2,3,2,1,7
162,0,2,2,3,2,5
163,0,1,4,2,2,3
165,0,2,3,2,3,1
167,0,3,2,3,3,5
168,0,1,4,2,1,4
169,0,2,3,2,3,1
170,0,2,3,3,2,5
172,0,2,3,2,2,7
173,0,1,1,2,2,6
174,0,1,4,4,2,3
175,0,2,3,2,1,7
176,0,1,2,2,2,2
177,0,2,2,2,2,6
178,0,2,2,2,2,6
179,0,1,3,2,2,2
180,0,1,1,2,2,6
182,0,1,3,2,1,2
183,0,3,3,2,2,7
184,0,2,4,2,2,3
185,0,1,4,1,1,4
186,0,2,4,2,2,3
187,0,2,3,2,3,1
189,0,1,4,2,3,3
190,0,1,3,2,2,2
191,0,2,4,2,1,3
192,0,2,2,1,1,6
193,0,2,2,3,3,5
195,0,2,3,2,2,7
198,0,2,3,2,2,7
199,0,2,4,2,2,3
200,0,1,4,2,2,3
201,0,1,1,1,2,6
202,0,2,3,2,2,7
204,0,2,3,2,2,7
205,0,2,4,3,2,3
206,0,1,3,1,2,2
208,0,2,2,2,2,6
210,0,2,3,1,2,7
212,0,2,4,2,2,3
213,0,2,2,3,2,5
215,0,2,2,2,3,1
216,0,2,4,2,2,3
217,0,3,3,2,2,7
218,0,1,4,1,3,3
220,0,2,2,2,2,6
222,0,2,3,2,2,7
224,0,2,2,2,2,6
225,0,2,4,1,2,3
226,0,2,4,2,1,3
227,0,2,3,2,3,1
228,0,2,3,2,1,7
235,0,3,2,3,4,1
236,0,3,4,1,4,1
238,0,1,1,1,1,6
239,0,1,1,3,2,5
240,0,1,1,1,1,6
241,0,3,4,3,3,1
242,0,2,4,2,1,3
243,0,2,2,2,2,6
244,0,1,1,2,2,6
245,0,1,4,2,2,3
248,0,2,4,2,2,3
249,0,1,4,2,2,3
250,0,2,3,2,4,1
251,0,1,2,2,2,2
252,0,3,2,2,2,6
253,0,3,3,2,1,7
254,0,2,3,2,2,7
255,0,3,3,3,3,1
257,0,2,4,2,2,3
258,0,2,3,3,3,1
260,0,2,4,2,2,3
261,0,1,2,1,1,2
264,0,2,3,3,2,5
265,0,1,4,1,1,4
266,0,1,2,1,1,2
267,0,2,3,2,2,7
268,1,2,2,2,2,6
269,1,3,3,2,1,7
270,1,2,3,1,1,7
271,1,1,3,2,1,2
272,1,3,3,2,3,1
273,1,1,4,1,1,4
274,1,2,3,1,1,7
275,1,2,3,2,1,7
278,1,2,2,2,1,6
279,1,2,3,2,2,7
280,1,3,4,2,2,7
281,1,1,3,1,1,2
283,1,2,2,1,2,6
284,1,2,4,2,2,3
285,1,1,3,2,1,2
286,1,1,3,2,1,2
287,1,2,1,1,1,6
288,1,3,2,2,2,6
289,1,1,4,2,1,4
290,1,3,3,2,1,7
291,1,1,4,1,1,4
292,1,1,4,3,3,3
293,1,1,2,1,2,2
294,1,1,2,2,1,2
295,1,2,2,2,1,6
296,1,3,2,1,2,6
298,1,2,2,3,1,5
299,1,1,4,2,2,3
300,1,1,3,2,1,2
301,1,1,3,1,1,2
302,1,1,2,2,2,2
303,1,3,2,2,2,6
304,1,3,2,1,3,6
305,1,2,4,2,1,3
306,1,2,3,3,1,7
307,1,2,2,2,2,6
308,1,3,3,1,1,7
309,1,2,3,2,1,7
310,1,2,3,2,2,7
311,1,2,3,2,2,7
312,1,2,2,2,2,6
313,1,2,1,1,1,6
314,1,3,4,2,3,1
315,1,1,3,1,2,2
316,1,2,1,2,2,6
317,1,1,4,2,1,4
318,1,2,3,2,1,7
319,1,2,4,2,4,1
320,1,1,3,2,1,2
321,1,1,1,2,2,6
322,1,2,4,2,2,3
323,1,1,4,2,2,3
324,1,3,4,2,2,7
325,1,1,2,2,2,2
326,1,1,4,2,2,3
327,1,1,4,2,1,4
328,1,1,2,2,2,2
329,1,2,4,2,2,3
330,1,2,3,2,2,7
331,1,1,4,2,2,3
332,1,2,2,3,2,5
333,1,1,3,2,2,2
334,1,2,3,2,1,7
335,1,2,4,1,1,4
336,1,1,4,1,2,4
337,1,3,4,2,2,7
338,1,2,2,1,2,6
339,1,3,4,2,2,7
340,1,1,4,2,1,4
341,1,1,4,1,1,4
342,1,1,3,2,1,2
343,1,1,4,2,2,3
344,1,1,4,2,2,3
345,1,2,4,2,2,3
346,1,2,3,2,3,1
347,1,1,4,4,1,3
348,1,2,4,2,1,3
349,1,2,4,2,2,3
350,1,1,1,1,1,6
351,1,2,2,2,1,6
352,1,1,2,1,2,2
353,1,2,2,2,2,6
354,1,1,4,2,1,4
355,1,1,4,2,1,4
356,1,3,4,2,1,7
357,1,2,3,3,2,5
359,1,1,4,1,1,4
360,1,2,2,1,1,6
361,1,2,4,1,1,4
362,1,3,2,1,2,6
363,1,2,2,2,2,6
364,1,1,2,1,1,2
365,1,1,1,1,1,6
366,1,2,3,2,3,1
367,1,2,2,2,2,6
368,1,2,4,2,1,3
369,1,2,3,3,3,1
370,1,3,2,2,2,6
371,1,2,3,2,2,7
372,1,1,4,2,2,3
373,1,1,4,1,1,4
374,1,2,2,2,2,6
375,1,2,3,2,2,7
376,1,1,4,1,1,4
377,1,1,2,1,1,2
378,1,2,2,1,1,6
379,1,2,3,2,2,7
381,1,1,4,1,1,4
382,1,3,2,4,3,5
383,1,1,3,2,1,2
384,1,2,3,2,2,7
385,1,2,3,2,2,7
386,1,3,2,2,1,6
387,1,1,4,2,1,4
388,1,2,3,2,2,7
389,1,3,2,2,2,6
390,1,2,2,2,1,6
391,1,1,4,2,1,4
392,1,2,4,1,2,3
393,1,1,4,2,1,4
394,1,2,4,2,1,3
395,1,1,2,2,2,2
396,1,3,2,1,2,6
397,1,2,3,2,3,1
398,1,2,3,1,1,7
399,1,2,3,1,2,7
400,1,1,3,1,2,2
401,1,1,3,2,2,2
402,1,2,2,2,1,6
403,1,1,3,1,1,2
404,1,2,3,1,2,7
406,1,1,4,1,1,4
407,1,4,4,2,2,7
408,1,2,2,2,2,6
410,1,3,3,2,2,7
411,1,1,2,2,2,2
412,1,2,2,1,2,6
413,1,3,4,1,2,7
414,1,1,4,2,1,4
415,1,3,2,2,1,6
416,1,2,2,1,2,6
417,1,2,2,2,3,1
418,1,1,2,1,1,2
419,1,2,4,2,1,3
420,1,2,2,2,2,6
421,1,2,3,3,3,1
422,1,1,3,1,1,2
423,1,1,4,2,2,3
424,1,2,2,1,2,6
425,1,2,2,1,1,6
426,1,3,2,2,2,6
427,1,2,2,2,2,6
428,1,2,2,1,1,6
429,1,3,4,2,2,7
430,1,2,2,3,2,5
431,1,2,4,2,2,3
432,1,1,2,1,1,2
433,1,2,4,2,2,3
434,1,3,2,2,3,1
435,1,2,1,2,1,6
436,1,1,4,2,2,3
437,1,3,2,1,1,6
438,1,1,2,1,2,2
439,1,2,2,2,2,6
440,1,3,2,1,2,6
441,1,3,4,3,3,1
442,1,3,4,1,1,7
443,1,3,4,1,1,7
444,1,3,4,1,1,7
446,1,1,2,2,2,2
447,1,2,3,2,2,7
448,1,3,2,1,1,6
449,1,1,2,2,2,2
450,1,2,4,2,2,3
452,1,2,4,2,1,3
453,1,2,4,1,1,4
454,1,2,4,2,2,3
455,1,1,3,2,2,2
456,1,1,4,2,1,4
457,1,3,4,2,2,7
458,1,3,2,1,2,6
459,1,1,3,2,2,2
460,1,1,2,1,1,2
461,1,1,1,1,1,6
462,1,2,3,1,1,7
463,1,3,3,1,1,7
466,1,1,4,2,1,4
467,1,2,2,2,3,1
468,1,1,1,1,1,6
469,1,2,1,2,3,6
470,1,2,4,2,2,3
471,1,2,2,2,2,6
472,1,2,4,2,2,3
473,1,2,2,2,2,6
474,1,1,2,2,1,2
475,1,2,2,2,2,6
476,1,2,4,2,1,3
477,1,3,4,2,1,7
478,1,3,3,2,2,7
479,1,2,2,2,2,6
480,1,1,4,1,2,4
481,1,1,4,1,1,4
482,1,1,3,2,2,2
