Chile,,,,,,
period,my_month,year,source,deuda_total,deuda_interna,deuda_externa
"01 December, 2009",December,2009,Dólares  USA,2382000000,0,2382000000
"01 December, 2009",December,2009,Unidades  de  Fomento,7025400000,7025400000,0
"01 December, 2009",December,2009,Unidad de  Cuenta  BID,47200000,0,47200000
"01 December, 2009",December,2009,Euros,100000000,0,100000000
"01 December, 2009",December,2009,Pesos,1540300000,1540300000,0
"01 December, 2009",December,2009,Otras,771000000,1540300000,900000
"01 December, 2010",December,2010,Dólares USA,3413600000,0,3413600000
"01 December, 2010",December,2010,Unidades de Fomento,13796300000,13796300000,0
"01 December, 2010",December,2010,Unidad de Cuenta BID,0,0,0
"01 December, 2010",December,2010,Euros,99700000,0,99700000
"01 December, 2010",December,2010,Pes os,3047400000,2466100000,581400000
"01 December, 2010",December,2010,Otras,800000,0,800000
"01 December, 2010",December,2010,Pesos,3047400000,2466100000,581400000
"01 December, 2011",December,2011,Dólares USA,4358200000,0,4358200000
"01 December, 2011",December,2011,UF,16706200000,16706200000,0
"01 December, 2011",December,2011,Euros,88600000,0,88600000
"01 December, 2011",December,2011,Pesos,4773900000,3940900000,832900000
"01 December, 2011",December,2011,Otras,800000,0,800000
"01 December, 2012",December,2012,Dólares USA,5138400000,0,5138400000
"01 December, 2012",December,2012,UF,20955000000,20955000000,0
"01 December, 2012",December,2012,Euros,87900000,0,87900000
"01 December, 2012",December,2012,Pesos,6240900000,5333400000,907500000
"01 December, 2012",December,2012,Otras,700000,0,700000
"01 December, 2013",December,2013,Dólares USA,4243000000,0,4243000000
"01 December, 2013",December,2013,UF,22075000000,22075000000,0
"01 December, 2013",December,2013,Euros,86700000,0,86700000
"01 December, 2013",December,2013,Pesos,7109500000,6280200000,829300000
"01 December, 2013",December,2013,Otras,700000,0,700000
"01 December, 2014",December,2014,Dólares USA,4784600000,0,4784600000
"01 December, 2014",December,2014,UF,22026200000,22026200000,0
"01 December, 2014",December,2014,Euros,1044100000,0,1044100000
"01 December, 2014",December,2014,Pesos,8731100000,8016000000,715100000
"01 December, 2014",December,2014,Otras,500000,0,500000
"01 December, 2015",December,2015,Dólares USA,4703700000,0,4703700000
"01 December, 2015",December,2015,UF,21755200000,21755200000,0
"01 December, 2015",December,2015,Euros,2459100000,0,2459100000
"01 December, 2015",December,2015,Pesos,10044800000,9430700000,614100000
"01 December, 2015",December,2015,Otras,400000,0,400000
"01 December, 2015",December,2015,UTM,0,0,0
"01 December, 2016",December,2016,Dólares USA,5821100000,0,5821100000
"01 December, 2016",December,2016,UF,25796100000,25796100000,0
"01 December, 2016",December,2016,Euros,3608500000,0,3608500000
"01 December, 2016",December,2016,Pesos,18138100000,17487200000,650900000
"01 December, 2016",December,2016,Otras,1600000,0,300000
"01 December, 2016",December,2016,UTM,1300000,1300000,0
"01 December, 2017",December,2017,Dólares USA,7143600000,0,7143600000
"01 December, 2017",December,2017,UF,31026000000,31026000000,0
"01 December, 2017",December,2017,Euros,4957600000,0,4957600000
"01 December, 2017",December,2017,Pesos,25807600000,25101600000,706000000
"01 December, 2017",December,2017,Otras,1400000,0,300000
"01 December, 2017",December,2017,UTM,1100000,1100000,0
"01 December, 2018",December,2018,Dólares USA,8242500000,0,8242500000
"01 December, 2018",December,2018,UF,29476500000,29476500000,0
"01 December, 2018",December,2018,Euros,5677200000,0,5677200000
"01 December, 2018",December,2018,Pesos,26850400000,26226100000,624300000
"01 December, 2018",December,2018,Otras,900000,0,200000
"01 December, 2018",December,2018,UTM,700000,700000,0
"01 December, 2019",December,2019,Dólares USA,8803200000,0,8803200000
"01 December, 2019",December,2019,UF,30826800000,30826800000,0
"01 December, 2019",December,2019,Euros,6501300000,30826800000,6501300000
"01 December, 2019",December,2019,Pesos,28259400000,27748500000,511000000
"01 December, 2019",December,2019,Otras,400000,0,100000
"01 December, 2019",December,2019,UTM,300000,300000,0
"01 December, 2019",December,2019,Dólares USA,8803200000,0,8803200000
"01 December, 2020",December,2020,Dólares USA,11652900000,0,11652900000
"01 December, 2020",December,2020,UF,31217600000,31217600000,0
"01 December, 2020",December,2020,Euros,9555100000,0,9555100000
"01 December, 2020",December,2020,Pesos,39199400000,39199400000,0
"01 December, 2020",December,2020,Otras,100000,0,100000
"01 December, 2020",December,2020,UTM,0,0,0
"01 June, 2010",June,2010,Dólares USA,2354400000,0,2354400000
"01 June, 2010",June,2010,Unidades de Fomento,8721300000,8721300000,0
"01 June, 2010",June,2010,Unidad de Cuenta BID,44100000,0,0
"01 June, 2010",June,2010,Euros,79300000,0,79300000
"01 June, 2010",June,2010,Pes os,2126800000,2126800000,0
"01 June, 2010",June,2010,Otras,800000,0,800000
"01 June, 2010",June,2010,Dólares  USA,2354400000,0,2354400000
"01 June, 2010",June,2010,Unidades  de  Fomento,8721300000,8721300000,0
"01 June, 2010",June,2010,Unidad de  Cuenta  BID,44100000,0,44100000
"01 June, 2010",June,2010,Pesos,2126800000,2126800000,0
"01 June, 2010",June,2010,Unidades  de Fomento,8721300000,8721300000,0
"01 June, 2010",June,2010,Unidad de Cuenta  BID,44100000,0,44100000
"01 June, 2010",June,2010,Otra s,800000,0,800000
"01 June, 2011",June,2011,Dólares USA,3359100000,0,3359100000
"01 June, 2011",June,2011,UF,16065100000,16065100000,0
"01 June, 2011",June,2011,Euros,103000000,0,103000000
"01 June, 2011",June,2011,Pesos,3981000000,3403100000,578000000
"01 June, 2011",June,2011,Otras,900000,0,900000
"01 June, 2011",June,2011,Unidades de Fomento,16065100000,16065100000,0
"01 June, 2012",June,2012,Dólares USA,3678900000,0,3678900000
"01 June, 2012",June,2012,UF,19056400000,19056400000,0
"01 June, 2012",June,2012,Euros,81300000,0,81300000
"01 June, 2012",June,2012,Pesos,5459400000,4607300000,852100000
"01 June, 2012",June,2012,Otras,700000,0,700000
"01 June, 2013",June,2013,Dólares USA,2135333200,0,2135333200
"01 June, 2013",June,2013,UF,10513152650,10513152650,0
"01 June, 2013",June,2013,Euros,464200000,0,464200000
"01 June, 2013",June,2013,Pesos,3281578300,2850147300,4741000000
"01 June, 2013",June,2013,Otras,3850000,0,3850000
"01 June, 2014",June,2014,Dólares USA,4232900000,0,4232900000
"01 June, 2014",June,2014,UF,22703800000,22703800000,0
"01 June, 2014",June,2014,Euros,82200000,0,82200000
"01 June, 2014",June,2014,Pesos,7843300000,7054500000,788900000
"01 June, 2014",June,2014,Otras,600000,0,600000
"01 June, 2015",June,2015,Dólares USA,4732500000,0,4732500000
"01 June, 2015",June,2015,UF,21268600000,21268600000,0
"01 June, 2015",June,2015,Euros,2502900000,0,2502900000
"01 June, 2015",June,2015,Pesos,10408600000,9724100000,684500000
"01 June, 2015",June,2015,Otras,400000,0,400000
"01 June, 2016",June,2016,Dólares USA,5689600000,0,5689600000
"01 June, 2016",June,2016,UF,25141200000,25141200000,0
"01 June, 2016",June,2016,Euros,3833100000,0,3833100000
"01 June, 2016",June,2016,Pesos,15905000000,15248400000,656600000
"01 June, 2016",June,2016,Otras,1100000,0,400000
"01 June, 2016",June,2016,UTM,1600000,1600000,0
"01 June, 2017",June,2017,Dólares USA,7016300000,0,7016300000
"01 June, 2017",June,2017,UF,27193800000,27193800000,0
"01 June, 2017",June,2017,Euros,4742200000,0,4742200000
"01 June, 2017",June,2017,Pesos,22551700000,21896800000,654900000
"01 June, 2017",June,2017,Otras,1300000,0,300000
"01 June, 2017",June,2017,UTM,1000000,1000000,0
"01 June, 2018",June,2018,Dólares USA,8247100000,0,8247100000
"01 June, 2018",June,2018,UF,30814300000,30814300000,0
"01 June, 2018",June,2018,Euros,5750800000,0,5750800000
"01 June, 2018",June,2018,Pesos,23404300000,22734000000,670300000
"01 June, 2018",June,2018,Otras,900000,0,200000
"01 June, 2018",June,2018,UTM,700000,700000,0
"01 June, 2019",June,2019,Dólares USA,8779400000,0,8779400000
"01 June, 2019",June,2019,UF,32131400000,32131400000,0
"01 June, 2019",June,2019,Euros,5637500000,32131400000,5637500000
"01 June, 2019",June,2019,Pesos,30550500000,29990900000,559600000
"01 June, 2019",June,2019,Otras,500000,0,200000
"01 June, 2019",June,2019,UTM,300000,300000,0
"01 June, 2020",June,2020,Dólares USA,11867700000,0,11867700000
"01 June, 2020",June,2020,UF,27879800000,27879800000,0
"01 June, 2020",June,2020,Euros,8763600000,0,8763600000
"01 June, 2020",June,2020,Pesos,29560400000,29094300000,466100000
"01 June, 2020",June,2020,Otras,100000,0,100000
"01 June, 2020",June,2020,UTM,0,0,0
"01 June, 2020",June,2020,Dólares USA,11867700000,0,11867700000
"01 June, 2021",June,2021,Dólares USA,17404100000,0,17404100000
"01 June, 2021",June,2021,UF,30675400000,30675400000,0
"01 June, 2021",June,2021,Euros,11253000000,0,11253000000
"01 June, 2021",June,2021,Pesos,38498700000,38498700000,0
"01 June, 2021",June,2021,Otras,100000,0,100000
"01 June, 2021",June,2021,UTM,0,0,0
"01 March, 2010",March,2010,Dólares USA,2358100000,0,2358100000
"01 March, 2010",March,2010,Unidades de Fomento,7846900000,7846900000,0
"01 March, 2010",March,2010,Unidad de Cuenta BID,44800000,0,0
"01 March, 2010",March,2010,Euros,93300000,0,93300000
"01 March, 2010",March,2010,Pes os,1838400000,1838400000,0
"01 March, 2010",March,2010,Otras,900000,1838400000,900000
"01 March, 2010",March,2010,Dólares  USA,2358100000,0,2358100000
"01 March, 2010",March,2010,Unidades  de  Fomento,7846900000,7846900000,0
"01 March, 2010",March,2010,Unidad de  Cuenta  BID,44800000,0,44800000
"01 March, 2010",March,2010,Pesos,1838400000,1838400000,0
"01 March, 2010",March,2010,Unidades  de Fomento,7846900000,7846900000,0
"01 March, 2010",March,2010,Unidad de Cuenta  BID,44800000,0,44800000
"01 March, 2010",March,2010,Otra s,900000,0,900000
"01 March, 2011",March,2011,Dólares USA,3384700000,0,3384700000
"01 March, 2011",March,2011,UF,14471400000,14471400000,0
"01 March, 2011",March,2011,Euros,106300000,0,106300000
"01 March, 2011",March,2011,Pesos,3423900000,2859000000,564800000
"01 March, 2011",March,2011,Otras,900000,0,900000
"01 March, 2011",March,2011,Unidades de Fomento,14471400000,14471400000,0
"01 March, 2011",March,2011,Unidad de Cuenta BID,0,0,0
"01 March, 2012",March,2012,Dólares USA,3670800000,0,3670800000
"01 March, 2012",March,2012,UF,18759500000,18759500000,0
"01 March, 2012",March,2012,Euros,90800000,0,90800000
"01 March, 2012",March,2012,Pesos,5362300000,4475400000,886900000
"01 March, 2012",March,2012,Otras,800000,0,800000
"01 March, 2013",March,2013,Dólares USA,4279000000,0,4279000000
"01 March, 2013",March,2013,UF,21250200000,21250200000,0
"01 March, 2013",March,2013,Euros,84800000,0,84800000
"01 March, 2013",March,2013,Pesos,6321000000,5401800000,919200000
"01 March, 2013",March,2013,Otras,700000,0,700000
"01 March, 2014",March,2014,Dólares USA,4210600000,0,4210600000
"01 March, 2014",March,2014,UF,21269400000,21269400000,0
"01 March, 2014",March,2014,Euros,86500000,0,86500000
"01 March, 2014",March,2014,Pesos,6763800000,5974800000,789000000
"01 March, 2014",March,2014,Otras,700000,0,700000
"01 March, 2015",March,2015,Dólares USA,4750200000,0,4750200000
"01 March, 2015",March,2015,UF,20002200000,20002200000,0
"01 March, 2015",March,2015,Euros,928200000,0,5105100000
"01 March, 2015",March,2015,Pesos,8459600000,7766800000,692900000
"01 March, 2015",March,2015,Otras,400000,0,400000
"01 March, 2016",March,2016,Dólares USA,5576800000,0,5576800000
"01 March, 2016",March,2016,UF,22956800000,22956800000,0
"01 March, 2016",March,2016,Euros,3911400000,0,3911400000
"01 March, 2016",March,2016,Pesos,10524500000,9881100000,643400000
"01 March, 2016",March,2016,Otras,400000,0,400000
"01 March, 2016",March,2016,UTM,0,0,0
"01 March, 2017",March,2017,Dólares USA,5787900000,0,5787900000
"01 March, 2017",March,2017,UF,25726900000,25726900000,0
"01 March, 2017",March,2017,Euros,3689500000,0,3689500000
"01 March, 2017",March,2017,Pesos,19567400000,18912000000,655500000
"01 March, 2017",March,2017,Otras,1300000,0,300000
"01 March, 2017",March,2017,UTM,1000000,1000000,0
"01 March, 2017",March,2017,Dólares USA,5787900000,0,5787900000
"01 March, 2017",March,2017,UF,25726900000,25726900000,0
"01 March, 2017",March,2017,Euros,3689500000,0,3689500000
"01 March, 2017",March,2017,Pesos,19567400000,18912000000,655500000
"01 March, 2017",March,2017,Otras,1300000,0,300000
"01 March, 2017",March,2017,UTM,1000000,1000000,0
"01 March, 2018",March,2018,Dólares USA,8262000000,0,8262000000
"01 March, 2018",March,2018,UF,31735200000,31735200000,0
"01 March, 2018",March,2018,Euros,6140100000,0,6140100000
"01 March, 2018",March,2018,Pesos,25055100000,24337500000,717600000
"01 March, 2018",March,2018,Otras,1400000,0,300000
"01 March, 2018",March,2018,UTM,1100000,1100000,0
"01 March, 2019",March,2019,Dólares USA,8162900000,0,8162900000
"01 March, 2019",March,2019,UF,31118800000,31118800000,0
"01 March, 2019",March,2019,Euros,5575700000,31118800000,5575700000
"01 March, 2019",March,2019,Pesos,28197700000,27560000000,637700000
"01 March, 2019",March,2019,Otras,900000,0,200000
"01 March, 2019",March,2019,UTM,700000,700000,0
"01 March, 2020",March,2020,Dólares USA,10434800000,0,10434800000
"01 March, 2020",March,2020,UF,27010000000,27010000000,0
"01 March, 2020",March,2020,Euros,8055000000,0,8055000000
"01 March, 2020",March,2020,Pesos,24521800000,24072300000,449600000
"01 March, 2020",March,2020,Otras,400000,0,100000
"01 March, 2020",March,2020,UTM,300000,300000,0
"01 March, 2020",March,2020,Dólares USA,10434800000,0,10434800000
"01 March, 2021",March,2021,Dólares USA,13886700000,0,13886700000
"01 March, 2021",March,2021,UF,30466700000,30466700000,0
"01 March, 2021",March,2021,Euros,11078500000,0,11078500000
"01 March, 2021",March,2021,Pesos,36926600000,36926600000,0
"01 March, 2021",March,2021,Otras,100000,0,100000
"01 March, 2021",March,2021,UTM,0,0,0
"01 September, 2010",September,2010,Dólares USA,3411800000,0,3411800000
"01 September, 2010",September,2010,Unidades de Fomento,11558900000,11558900000,0
"01 September, 2010",September,2010,Unidad de Cuenta BID,0,0,0
"01 September, 2010",September,2010,Euros,108900000,0,108900000
"01 September, 2010",September,2010,Pes os,2941500000,2380400000,561200000
"01 September, 2010",September,2010,Otras,900000,0,900000
"01 September, 2010",September,2010,Dólares  USA,3368700000,0,3368700000
"01 September, 2010",September,2010,Unidades  de Fomento,11558900000,11558900000,0
"01 September, 2010",September,2010,Unidad de Cuenta  BID,43100000,0,43100000
"01 September, 2010",September,2010,Pesos,2941500000,2380400000,561200000
"01 September, 2010",September,2010,Otra s,900000,0,900000
"01 September, 2011",September,2011,Dólares USA,4334700000,0,4334700000
"01 September, 2011",September,2011,UF,15737600000,15737600000,0
"01 September, 2011",September,2011,Euros,96800000,0,96800000
"01 September, 2011",September,2011,Pesos,4392300000,3549100000,843200000
"01 September, 2011",September,2011,Otras,800000,0,800000
"01 September, 2011",September,2011,Unidades de Fomento,15737600000,15737600000,0
"01 September, 2012",September,2012,Dólares USA,3655900000,0,3655900000
"01 September, 2012",September,2012,UF,20784400000,20784400000,0
"01 September, 2012",September,2012,Euros,84400000,0,84400000
"01 September, 2012",September,2012,Pesos,6198000000,5274800000,923200000
"01 September, 2012",September,2012,Otras,800000,0,800000
"01 September, 2013",September,2013,Dólares USA,2121569450,0,2121569450
"01 September, 2013",September,2013,UF,11213752550,11213752550,0
"01 September, 2013",September,2013,Euros,480700000,0,480700000
"01 September, 2013",September,2013,Pesos,3603750150,3171568400,4749800000
"01 September, 2013",September,2013,Otras,3850000,0,3850000
"01 September, 2014",September,2014,Dólares USA,4198700000,0,4198700000
"01 September, 2014",September,2014,UF,20931900000,20931900000,0
"01 September, 2014",September,2014,Euros,76300000,0,76300000
"01 September, 2014",September,2014,Pesos,7626200000,6904300000,721900000
"01 September, 2014",September,2014,Otras,600000,0,600000
"01 September, 2015",September,2015,Dólares USA,4708400000,0,4708400000
"01 September, 2015",September,2015,UF,20870600000,20870600000,0
"01 September, 2015",September,2015,Euros,2538200000,0,1269226910
"01 September, 2015",September,2015,Pesos,9373200000,8756800000,616400000
"01 September, 2015",September,2015,Otras,400000,0,400000
"01 September, 2016",September,2016,Dólares USA,5797400000,0,5797400000
"01 September, 2016",September,2016,UF,25255700000,25255700000,0
"01 September, 2016",September,2016,Euros,3870800000,0,3870800000
"01 September, 2016",September,2016,Pesos,17620600000,16961600000,659000000
"01 September, 2016",September,2016,Otras,2000000,0,400000
"01 September, 2016",September,2016,UTM,1600000,1600000,0
"01 September, 2017",September,2017,Dólares USA,7145900000,0,7145900000
"01 September, 2017",September,2017,UF,28579200000,28579200000,0
"01 September, 2017",September,2017,Euros,4886300000,0,4886300000
"01 September, 2017",September,2017,Pesos,24192100000,23510100000,682000000
"01 September, 2017",September,2017,Otras,1300000,0,300000
"01 September, 2017",September,2017,UTM,1000000,1000000,0
"01 September, 2018",September,2018,Dólares USA,8233100000,0,8233100000
"01 September, 2018",September,2018,UF,31868300000,31868300000,0
"01 September, 2018",September,2018,Euros,5795800000,0,5795800000
"01 September, 2018",September,2018,Pesos,25162300000,24505700000,656600000
"01 September, 2018",September,2018,Otras,900000,0,200000
"01 September, 2018",September,2018,UTM,700000,700000,0
"01 September, 2019",September,2019,Dólares USA,8763400000,0,8763400000
"01 September, 2019",September,2019,UF,30788100000,30788100000,0
"01 September, 2019",September,2019,Euros,6370100000,30788100000,6370100000
"01 September, 2019",September,2019,Pesos,28832200000,28307900000,524300000
"01 September, 2019",September,2019,Otras,500000,0,200000
"01 September, 2019",September,2019,UTM,300000,300000,0
"01 September, 2019",September,2019,Dólares USA,8763400000,0,8763400000
"01 September, 2020",September,2020,Dólares USA,11230700000,0,11230700000
"01 September, 2020",September,2020,UF,27957300000,27957300000,0
"01 September, 2020",September,2020,Euros,9163700000,0,9163700000
"01 September, 2020",September,2020,Pesos,34219200000,34219200000,0
"01 September, 2020",September,2020,Otras,100000,0,100000
"01 September, 2020",September,2020,UTM,0,0,0
"01 September, 2021",September,2021,Dólares USA,21694800000,0,21694800000
"01 September, 2021",September,2021,UF,29716100000,29716100000,0
"01 September, 2021",September,2021,Euros,14062200000,0,14062200000
"01 September, 2021",September,2021,Pesos,37427400000,37427400000,0
"01 September, 2021",September,2021,Otras,100000,0,100000
"01 September, 2021",September,2021,UTM,0,0,0
